"id","transaction_id","confirmed","notified","subaccount_id","amount","coin","network","insert_time","confirm_times","source_address","attempts","created_at","updated_at","destination_address","destination_address_tag","balanced"
617536,"Internal transfer 122047952675",1,1,"3190059643382560769",0.07206178000000000000,"BNB","BSC","1668292958000","1/15","122047952675",0,"2022-11-12 22:44:13","2022-11-12 22:44:50","0xb5771bd5e9490e00cff2a040d2dfb571301804aa",,0
617537,"W2Jj8mUHoa4oXXsrofimgfCFC7ZVs7Q1AxAQWy6Ap46VQCHzgHKobeGhKfPpp79Yd2SgnRwy9jeeBapYTKBZu99",1,1,"2881659478159712769",3.34638000000000000000,"SOL","SOL","1668292935000","1/1","RBHdGVfDfMjfU6iUfCb1LczMJcQLx7hGnxbzRsoDNvx",0,"2022-11-12 22:44:13","2022-11-12 22:44:52","3fGwYmZdgwx4HvJZX3H6oPoJuAXV8PZ4hdgbitHAw22m",,0
617532,"3emEAWLLYDYiitKzdqp2v62A4nFk9hvvXimEA6BaKZ9dAxbWpuD5p2YSE47yfxUitadEejSj5sR7RQj9qr3AQ26S",1,1,"2881659478159712769",0.56124000000000000000,"SOL","SOL","1668292925000","1/1","RBHdGVfDfMjfU6iUfCb1LczMJcQLx7hGnxbzRsoDNvx",0,"2022-11-12 22:42:14","2022-11-12 22:44:46","3fGwYmZdgwx4HvJZX3H6oPoJuAXV8PZ4hdgbitHAw22m",,0
617533,"Internal transfer 122047908928",1,1,"2809989647344581633",35.00000000000000000000,"USDT","BSC","1668292881000","1/15","122047908928",0,"2022-11-12 22:42:14","2022-11-12 22:42:46","0x247d5efb75cb0aef9f947cf1997e350ca5e7e88d",,0
617534,"0xfba0aaba034e19bbbe66c57f62e707b745da3f36638a2a01257dfdaa80275561",1,1,"3072462854937286400",1.00000000000000000000,"BUSD","BSC","1668292871000","15/15","0xc1f64eb008259a22b03791d7b8942d66cabba5c6",0,"2022-11-12 22:42:14","2022-11-12 22:42:48","0x2ad8667f10ca8885cae7413039bcee3dcecf2d91",,0
617527,"1f72d8dcfe5394ee78c29a2f6c47cab85eb499ace15926f9c33ab43cf134e398",1,1,"2755450982271920897",99.80000000000000000000,"USDT","TRX","1668292805000","1/1","TW7UcfjDw2ZcQUXx9m9BPBcd5CqdRd6UnA",0,"2022-11-12 22:40:13","2022-11-12 22:40:43","TYFCnqWzD3P6SmN8wSktrdwJyAFncw1E4o",,0
617528,"Internal transfer 122047863144",1,1,"2727413334164762368",0.00005000000000000000,"BTC","BSC","1668292771000","1/15","122047863144",0,"2022-11-12 22:40:13","2022-11-12 22:40:44","0x34f18587310dcc23fa702e5f8eb7ea043e01a049",,0
617529,"Internal transfer 122047854035",1,1,"2802155308699982336",500.21000000000000000000,"USDT","BSC","1668292734000","1/15","122047854035",0,"2022-11-12 22:40:13","2022-11-12 22:40:46","0x40223d0b1c35fef6549c1b0038eb59d95763b758",,0
617530,"Internal transfer 122047839793",1,1,"2948271901094758912",99.20000000000000000000,"USDT","TRX","1668292726000","1/1","122047839793",0,"2022-11-12 22:40:13","2022-11-12 22:40:48","TWo7qLmeoKJri4z3Yh6GW3ycBJPsfMym1a",,0
617531,"0x0a73d51dc127a23a2de5dac617433c7d8a4af1e79ccd8c89422f7bcd074f3d39",1,1,"2888876713743379968",10.00000000000000000000,"USDC","MATIC","1668292721000","128/128","0xe66386c5233000df6a0759b59f07bc88e86b17b1",0,"2022-11-12 22:40:13","2022-11-12 22:44:44","0xed75af5d050ec854be8e80cf681477658f478801",,0
